ncppb_number	other_references	script_included_identifiers	llm_expected_identifiers	missing_from_script	extra_in_script	comparison_verdict	llm_notes
NCPPB 3066	This isolate was isolated by J.E. Sellwood A960	A 960	A 960			match	Includes one-letter local strain code(s).
NCPPB 3078	The donor reference is ENA503 This isolate was isolated by ex A. Frenhani	ENA 503	ENA 503			match	
NCPPB 3079	This isolate is also in the collections; ICMP 8919, LMG 9053 This isolate was isolated by C.F. Robbs ENA 2154	ENA 2154; ICMP 8919; LMG 9053	ENA 2154; ICMP 8919; LMG 9053			match	
NCPPB 3082	This isolate was isolated by C.F. Robbs ENA 2564	ENA 2564	ENA 2564			match	
NCPPB 3086	This isolate is also in the collections; ICMP 6502, LMG 9046 The source of this isolate was ex ITCC 29 ex N.M. Pant	ICMP 6502; ITCC 29; LMG 9046	ICMP 6502; ITCC 29; LMG 9046			match	
NCPPB 3092	The donor reference is B7090 This isolate is also in the collections; ICMP 6574, LMG 9045 This isolate was isolated by ex Y.S. Kulkarni	B 7090; ICMP 6574; LMG 9045	B 7090; ICMP 6574; LMG 9045			match	Includes one-letter local strain code(s).
NCPPB 3110	This isolate was isolated by C.F. Robbs ENA 2530	ENA 2530	ENA 2530			match	
NCPPB 3114	This isolate is also in the collections; ICMP 6747, LMG 9051 This isolate was isolated by ex N.M. Pant P30 The source of this isolate was ex ITCC	ICMP 6747; LMG 9051; P 30	ICMP 6747; LMG 9051; P 30			match	Includes one-letter local strain code(s).
NCPPB 3119	This isolate was isolated by ex J. Mahillon					match	
NCPPB 3125	This isolate was isolated by M.L. Moffett 0839	MOFFETT 0839			MOFFETT 0839	mismatch	Script identifier is not a supported prefix+number code in the free text.
NCPPB 3135						match	
NCPPB 3136	This isolate was isolated by J.R. Neto 246	NETO 246			NETO 246	mismatch	Script identifier is not a supported prefix+number code in the free text.
NCPPB 3140	The donor reference is 120					needs_llm_review	Script identifier is not a supported prefix+number code in the free text.
NCPPB 3155	This isolate was isolated by C. Bazzi 1192-IPV-BO	BAZZI 1192-IPV-BO			BAZZI 1192-IPV-BO	mismatch	Script identifier is not a supported prefix+number code in the free text.
NCPPB 3156	This isolate was isolated by U. Mazzucchi 1236 IPV-BO	MAZZUCCHI 1236			MAZZUCCHI 1236	mismatch	Script identifier is not a supported prefix+number code in the free text.
NCPPB 3161	The donor reference is B6812 This isolate was isolated by ex G. Persley C6	B 6812; C 6	B 6812		C 6	mismatch	Includes one-letter local strain code(s).
NCPPB 3162	This isolate was isolated by J.F. Bradbury B6892b	B 6892B	B 6892B			match	Includes one-letter local strain code(s).
NCPPB 3168	The donor reference is B7147	B 7147	B 7147			match	Includes one-letter local strain code(s).
NCPPB 3169	This isolate is also in the collections; CFBP 7114 This isolate was isolated by J.F. Bradbury B 7166	B 7166; CFBP 7114	B 7166; CFBP 7114			match	Includes one-letter local strain code(s).
NCPPB 3170	This isolate was isolated by J.F. Bradbury B7205	B 7205	B 7205			match	Includes one-letter local strain code(s).
NCPPB 3172	The donor reference is B7299 This isolate was isolated by ex G. Persley 1	B 7299; PERSLEY 1	B 7299		PERSLEY 1	mismatch	Includes one-letter local strain code(s). Script also includes unsupported identifier(s).
NCPPB 3173	This isolate was isolated by J.F. Bradbury B7343	B 7343	B 7343			match	Includes one-letter local strain code(s).
NCPPB 3174	The donor reference is B7344b This isolate was isolated by J.f. Bradbury	B 7344B	B 7344B			match	Includes one-letter local strain code(s).
NCPPB 3176	This isolate was isolated by J.F. Bradbury B7380	B 7380	B 7380			match	Includes one-letter local strain code(s).
NCPPB 3177	The donor reference is B7385 This isolate was isolated by ex N.M. Kalyni No3	B 7385; NO 3	B 7385; NO 3			match	Includes one-letter local strain code(s).
NCPPB 3178	This isolate was isolated by J.F. Bradbury B7440a	B 7440A	B 7440A			match	Includes one-letter local strain code(s).
NCPPB 3182	This isolate was isolated by J.F. Bradbury B 7567	B 7567	B 7567			match	Includes one-letter local strain code(s).
NCPPB 3187	This isolate is also in the collections; CFBP 7115 This isolate was isolated by J.F. Bradbury B 7613a	B 7613A; CFBP 7115	B 7613A; CFBP 7115			match	Includes one-letter local strain code(s).
NCPPB 3191	The donor reference is B7790 This isolate was isolated by ex A.L.G. Pereira BM12 The source of this isolate was ex H. Maraite	B 7790; BM 12	B 7790; BM 12			match	Includes one-letter local strain code(s).
NCPPB 3192	The donor reference is B7791 This isolate is also in the collections; NCPPB 3061 This isolate was isolated by ex M. Maraite R662	B 7791; NCPPB 3061; R 662	B 7791; NCPPB 3061; R 662			match	Includes one-letter local strain code(s).
NCPPB 3194	This isolate was isolated by J.F. Bradbury B7797	B 7797	B 7797			match	Includes one-letter local strain code(s).
NCPPB 3200	The donor reference is B8059 This isolate was isolated by J.F. Bradbury	B 8059	B 8059			match	Includes one-letter local strain code(s).
NCPPB 3204	The donor reference is B8327 This isolate was isolated by ex R. Billington	B 8327	B 8327			match	Includes one-letter local strain code(s).
NCPPB 3207	This isolate was isolated by J.F. Bradbury B8511	B 8511	B 8511			match	Includes one-letter local strain code(s).
NCPPB 3212	This isolate was isolated by J.F. Bradbury B 8597	B 8597	B 8597			match	Includes one-letter local strain code(s).
NCPPB 3213	The donor reference is B 8600 This isolate is also in the collections; ICMP 8918 This isolate was isolated by ex B.P. Chakravarti BlP	B 8600; ICMP 8918	B 8600; ICMP 8918			match	Includes one-letter local strain code(s).
NCPPB 3215	The donor reference is B8613 This isolate was isolated by ex R. Raemakers 4	B 8613; RAEMAKERS 4	B 8613		RAEMAKERS 4	mismatch	Includes one-letter local strain code(s). Script also includes unsupported identifier(s).
NCPPB 3218	The donor reference is B8718 This isolate was isolated by C.P. Bennett Y3	B 8718; Y 3	B 8718; Y 3			match	Includes one-letter local strain code(s).
NCPPB 3229	The donor reference is Xg 719 This isolate is also in the collections; ICMP 7727, LMG 727, CFBP 2056, ATCC 33803 This isolate was isolated by ex J. Herzog Xg 102	ATCC 33803; CFBP 2056; ICMP 7727; LMG 727; XG 102; XG 719	ATCC 33803; CFBP 2056; ICMP 7727; LMG 727; XG 102; XG 719			match	
NCPPB 3230	The donor reference is 724 This isolate is also in the collections; ICMP 7726, LMG 728, CFBP 2057, ATCC 33804 This isolate was isolated by ex J. Herzog Xg 122	ATCC 33804; CFBP 2057; ICMP 7726; LMG 728; XG 122	ATCC 33804; CFBP 2057; ICMP 7726; LMG 728; XG 122			match	Script identifier is not a supported prefix+number code in the free text.
NCPPB 3231	The donor reference is Xg 729 This isolate is also in the collections; ICMP 7725, LMG 730, CFBP 2062, ATCC 33805 This isolate was isolated by ex D. Schmidt Xg 135	ATCC 33805; CFBP 2062; ICMP 7725; LMG 730; XG 135; XG 729	ATCC 33805; CFBP 2062; ICMP 7725; LMG 730; XG 135; XG 729			match	
NCPPB 3232	The donor reference is XC59 This isolate was isolated by ex V. Rossetti IBSP-164	IBSP 164; XC 59	IBSP 164; XC 59			match	
NCPPB 3233	The donor reference is XC70 This isolate is also in the collections; LMG 9181, CIVEROLO XC70 This isolate was isolated by ex V. Rossetti The source of this isolate was ex J.W. Miller IBSF 512 'C' type 1	IBSF 512; LMG 9181; TYPE 1; XC 70	IBSF 512; LMG 9181; XC 70		TYPE 1	mismatch	Script identifier is not a supported prefix+number code in the free text.
NCPPB 3234	The donor reference is XC62 This isolate was isolated by ex M. Koizumi 6501S	KOIZUMI 6501S; XC 62	XC 62		KOIZUMI 6501S	mismatch	Script identifier is not a supported prefix+number code in the free text.
NCPPB 3235	The donor reference is XC63 This isolate was isolated by ex M. Koizumi 7801	KOIZUMI 7801; XC 63	XC 63		KOIZUMI 7801	mismatch	Script identifier is not a supported prefix+number code in the free text.
NCPPB 3236	The donor reference is XC64 This isolate is also in the collections; ICMP 15806, LMG 9179, CFBP 2901, CIVEROLO XC64 The source of this isolate was ex M. Goto B-4	B 4; CFBP 2901; ICMP 15806; LMG 9179; XC 64	B 4; CFBP 2901; ICMP 15806; LMG 9179; XC 64			match	Includes one-letter local strain code(s).
NCPPB 3237	The donor reference is XC69 The source of this isolate was ex J.W. Miller XCll 'B' type 4	TYPE 4; XC 69	XC 69		TYPE 4	mismatch	Script identifier is not a supported prefix+number code in the free text.
NCPPB 3240	This isolate was isolated by M. Lopez 42-11	LOPEZ 42-11			LOPEZ 42-11	mismatch	Script identifier is not a supported prefix+number code in the free text.
NCPPB 3241	This isolate was isolated by M. Lopez 67-2a	LOPEZ 67-2A			LOPEZ 67-2A	mismatch	Script identifier is not a supported prefix+number code in the free text.
NCPPB 3242	This isolate was isolated by J.D. Janse PD28	PD 28	PD 28			match	
NCPPB 3245	This isolate was isolated by ex S.R. Basnyat; The source of this isolate was ex ITCC P32	ITCC P32; P 32	ITCC P32		P 32	mismatch	
NCPPB 3290	This isolate was isolated by M. Pesti 0103	PESTI 0103			PESTI 0103	mismatch	Script identifier is not a supported prefix+number code in the free text.
NCPPB 3291						match	
NCPPB 3292	This isolate was isolated by M. Pesti 0105	PESTI 0105			PESTI 0105	mismatch	Script identifier is not a supported prefix+number code in the free text.
NCPPB 3301	The donor reference is PX061 The source of this isolate was ex T.W. Mew PX061	PX 061	PX 061			match	
NCPPB 3303	The donor reference is PX079 The source of this isolate was ex T.W. Mew	PX 079	PX 079			match	
NCPPB 3304	The donor reference is PXO86 The source of this isolate was ex T.W. Mew	PXO 86	PXO 86			match	
NCPPB 3311	The source of this isolate was .					match	
NCPPB 3312	The donor reference is 100					needs_llm_review	Script identifier is not a supported prefix+number code in the free text.
NCPPB 3313	This isolate was isolated by M. Pesti 0102	PESTI 0102			PESTI 0102	mismatch	Script identifier is not a supported prefix+number code in the free text.
NCPPB 3314	The donor reference is 109					needs_llm_review	Script identifier is not a supported prefix+number code in the free text.
NCPPB 3315	The donor reference is 100					needs_llm_review	Script identifier is not a supported prefix+number code in the free text.
NCPPB 3329	The donor reference is A2087B This isolate was isolated by ex M. Fenton 3315 lB	A 2087B; FENTON 3315	A 2087B		FENTON 3315	mismatch	Includes one-letter local strain code(s). Script also includes unsupported identifier(s).
NCPPB 3330	The donor reference is A2087C This isolate was isolated by ex M. Fenton 3315 lC	A 2087C; FENTON 3315	A 2087C		FENTON 3315	mismatch	Includes one-letter local strain code(s). Script also includes unsupported identifier(s).
NCPPB 3361	The donor reference is OS-901	OS 901	OS 901			match	
NCPPB 3363	The donor reference is OS-14	OS 14	OS 14			match	
NCPPB 3380	This isolate was isolated by D. Stead A2192	A 2192	A 2192			match	Includes one-letter local strain code(s).
NCPPB 3381	This isolate was isolated by J.E. Sellwood A2222	A 2222	A 2222			match	Includes one-letter local strain code(s).
NCPPB 3382	This isolate was isolated by J.E. Sellwood A2184	A 2184	A 2184			match	Includes one-letter local strain code(s).
NCPPB 3426	The source of this isolate was ex M. de Kam 90	KAM 90	KAM 90			match	
NCPPB 3434	This isolate is also in the collections; ICMP 8682, LMG 8670, NETO 68 This isolate was isolated by J.R. Neto IBSBF 68	IBSBF 68; ICMP 8682; LMG 8670; NETO 68	IBSBF 68; ICMP 8682; LMG 8670		NETO 68	mismatch	Script identifier is not a supported prefix+number code in the free text.
NCPPB 3435	This isolate is also in the collections; ICMP 8688, LMG 8673, NETO 250 This isolate was isolated by J.R. Neto IBSBF 250	IBSBF 250; ICMP 8688; LMG 8673; NETO 250	IBSBF 250; ICMP 8688; LMG 8673		NETO 250	mismatch	Script identifier is not a supported prefix+number code in the free text.
NCPPB 3437	This isolate is also in the collections; ICMP 8046	ICMP 8046	ICMP 8046			match	
NCPPB 3438	This isolate is also in the collections; ICMP 8045 This isolate was isolated by J.R. Neto IBSBF 444	IBSBF 444; ICMP 8045	IBSBF 444; ICMP 8045			match	
NCPPB 3440	The donor reference is IBSBF 368 This isolate is also in the collections; ICMP 7499 This isolate was isolated by ex A. Takatsu UnB 46	IBSBF 368; ICMP 7499; UNB 46	IBSBF 368; ICMP 7499; UNB 46			match	
NCPPB 3441	This isolate was isolated by J.R. Neto IBSBF 511	IBSBF 511	IBSBF 511			match	
NCPPB 3442	The donor reference is IBSBF 506 This isolate is also in the collections; ICMP 8925 This isolate was isolated by ex C.F. Robbs ENA 3123	ENA 3123; IBSBF 506; ICMP 8925	ENA 3123; IBSBF 506; ICMP 8925			match	
NCPPB 3443	The donor reference is IBSBF 505 This isolate was isolated by ex C.F. Robbs ENA 3045	ENA 3045; IBSBF 505	ENA 3045; IBSBF 505			match	
NCPPB 3456	This isolate was isolated by J. Nemeth M192;	M 192	M 192			match	Includes one-letter local strain code(s).
NCPPB 3457	This isolate was isolated by J. Nemeth M21	M 21	M 21			match	Includes one-letter local strain code(s).
NCPPB 3479	This isolate was isolated by D.L. Tomlinson PNG11779	PNG 11779	PNG 11779			match	
NCPPB 3484	This isolate was isolated by M. Cugnsi 2	CUGNSI 2			CUGNSI 2	mismatch	Script identifier is not a supported prefix+number code in the free text.
NCPPB 3559	The donor reference is 507					needs_llm_review	Script identifier is not a supported prefix+number code in the free text.
NCPPB 3560	The donor reference is IBSBF 575 This isolate is also in the collections; ICMP 9261	IBSBF 575; ICMP 9261	IBSBF 575; ICMP 9261			match	
NCPPB 3561	The donor reference is IBSBF 576	IBSBF 576	IBSBF 576			match	
NCPPB 3562	This isolate was isolated by Ramesh Chand IIH-Xcc5	IIH-XCC 5; XCC 5	XCC 5		IIH-XCC 5	mismatch	
NCPPB 3563	This isolate was isolated by Ramesh Chand IIH-Xcp1	IIH-XCP 1; XCP 1	XCP 1		IIH-XCP 1	mismatch	
NCPPB 3566	The donor reference is IIHXCCRI					match	
NCPPB 3567	The donor reference is IIHXCCL					match	
NCPPB 3568	The donor reference is IIHXCCCN					match	
NCPPB 3569	The donor reference is 1					needs_llm_review	Script identifier is not a supported prefix+number code in the free text.
NCPPB 3570	The donor reference is 2					needs_llm_review	Script identifier is not a supported prefix+number code in the free text.
NCPPB 3573	The donor reference is X2G2	X 2G2	X 2G2			match	Includes one-letter local strain code(s).
NCPPB 3582	This isolate was isolated by A.R. Chase X144	X 144	X 144			match	Includes one-letter local strain code(s).
NCPPB 3583	This isolate was isolated by A R. Chase X 154	X 154	X 154			match	Includes one-letter local strain code(s).
NCPPB 3586	This isolate is also in the collections; CVCPB 1806, ICMP 9154, LMG 9055 This isolate was isolated by C.H. Zumoff L-212	CVCPB 1806; ICMP 9154; L 212; LMG 9055	CVCPB 1806; ICMP 9154; LMG 9055		L 212	mismatch	
NCPPB 3587	This isolate is also in the collections; CVCPB 1696 This isolate was isolated by C H. Zumoff LX105	CVCPB 1696; LX 105	CVCPB 1696; LX 105			match	
NCPPB 3588	The donor reference is X24 This isolate was isolated by ex D.D. Brunk PDD-659-82	PD D-659-82; PDD 659-82; X 24	PDD 659-82; X 24		PD D-659-82	mismatch	Includes one-letter local strain code(s).
NCPPB 3589	The donor reference is X37 This isolate was isolated by ex J.W. Miller	X 37	X 37			match	Includes one-letter local strain code(s).
NCPPB 3592	The donor reference is A4102a The source of this isolate was ex J. Cooper 2132A	A 4102A; COOPER 2132A	A 4102A		COOPER 2132A	mismatch	Includes one-letter local strain code(s). Script also includes unsupported identifier(s).
NCPPB 3593	The donor reference is A4102b The source of this isolate was ex J. Cooper 2132B	A 4102B; COOPER 2132B	A 4102B		COOPER 2132B	mismatch	Includes one-letter local strain code(s). Script also includes unsupported identifier(s).
NCPPB 3595	This isolate was isolated by R. Kishun 11H XCP1	KISHUN 11H; XCP 1	XCP 1		KISHUN 11H	mismatch	Script identifier is not a supported prefix+number code in the free text.
NCPPB 3596	This isolate was isolated by R. Kishun 11HXCM1	KISHUN 11HXCM1			KISHUN 11HXCM1	mismatch	Script identifier is not a supported prefix+number code in the free text.
NCPPB 3607	This isolate was isolated by R. Chand IIH XCCI					match	
NCPPB 3608	This isolate was isolated by R. Chand IIHXCC2	IIHXCC 2	IIHXCC 2			match	
NCPPB 3609	This isolate was isolated by R. Chand IIHXCC4	IIHXCC 4	IIHXCC 4			match	
NCPPB 3611	This isolate was isolated by R. Chand IIH Xcgla					match	
NCPPB 3612	The donor reference is IIH XCC7	XCC 7	XCC 7			match	
NCPPB 3614	The donor reference is 11H XCVe1	XCVE 1	XCVE 1			match	Script identifier is not a supported prefix+number code in the free text.
NCPPB 3615	The donor reference is 11H XCC3	XCC 3	XCC 3			match	Script identifier is not a supported prefix+number code in the free text.
NCPPB 3638	The donor reference is RCIIHXCP1 This isolate was isolated by R. Chand	RCIIHXCP 1	RCIIHXCP 1			match	
NCPPB 3639	The donor reference is RCIIHXCP2 This isolate was isolated by R. Chand	RCIIHXCP 2	RCIIHXCP 2			match	
NCPPB 3640	The donor reference is XCP3 This isolate was isolated by R. Chand	XCP 3	XCP 3			match	
NCPPB 3641	The donor reference is XCP4 This isolate was isolated by R. Chand	XCP 4	XCP 4			match	
NCPPB 3642	The donor reference is IIHXCg3 This isolate was isolated by R. Chand	IIHXCG 3	IIHXCG 3			match	
NCPPB 3646	The donor reference is ISBF 272 The source of this isolate was ex O. Kimura ex J.C. Lozano CIAT 1164	CIAT 1164; ISBF 272	CIAT 1164; ISBF 272			match	
NCPPB 3647	The donor reference is ISBF 273 The source of this isolate was ex O. Kimura ex J.C. Lozano CIAT 1195	CIAT 1195; ISBF 273	CIAT 1195; ISBF 273			match	
NCPPB 3651	The donor reference is ISBF 366 This isolate is also in the collections; ICMP 7497 The source of this isolate was ex A. Takatsu UnB-45	ICMP 7497; ISBF 366; UNB 45	ICMP 7497; ISBF 366; UNB 45			match	
NCPPB 3652	The donor reference is ISBF 367 This isolate is also in the collections; ICMP 7498 The source of this isolate was ex A. Takatsu UnB-47	ICMP 7498; ISBF 367; UNB 47	ICMP 7498; ISBF 367; UNB 47			match	
NCPPB 3653	The donor reference is ISBF 353	ISBF 353	ISBF 353			match	
NCPPB 3654	The donor reference is ISBF 380	ISBF 380	ISBF 380			match	
NCPPB 3655	The donor reference is ISBF 381 This isolate is also in the collections; ICMP 8432	ICMP 8432; ISBF 381	ICMP 8432; ISBF 381			match	
NCPPB 3656	The donor reference is ISBF 255 The source of this isolate was ex M.H. Sugimori Fito CIA 2836	CIA 2836; ISBF 255	CIA 2836; ISBF 255			match	
NCPPB 3657	The donor reference is ISBF 269	ISBF 269	ISBF 269			match	
NCPPB 3658	The donor reference is ISBF 327 This isolate is also in the collections; CFBP 7119	CFBP 7119; ISBF 327	CFBP 7119; ISBF 327			match	
NCPPB 3659	The donor reference is ISBF 333	ISBF 333	ISBF 333			match	
NCPPB 3660	The donor reference is ISBF 253	ISBF 253	ISBF 253			match	
NCPPB 3661	The donor reference is ISBF 443	ISBF 443	ISBF 443			match	
NCPPB 3662	The donor reference is ISBF 159 This isolate is also in the collections; ICMP 7462	ICMP 7462; ISBF 159	ICMP 7462; ISBF 159			match	
NCPPB 3663	The donor reference is ISBF 473	ISBF 473	ISBF 473			match	
NCPPB 3705	This isolate was isolated by A. Sletten 80-27	SLETTEN 80-27			SLETTEN 80-27	mismatch	Script identifier is not a supported prefix+number code in the free text.
NCPPB 3706	This isolate was isolated by A. Sletten 85-37	SLETTEN 85-37			SLETTEN 85-37	mismatch	Script identifier is not a supported prefix+number code in the free text.
NCPPB 3709	This isolate was isolated by A. Sletten 78-37	SLETTEN 78-37			SLETTEN 78-37	mismatch	Script identifier is not a supported prefix+number code in the free text.
NCPPB 3711	This isolate was isolated by A. Sletten 78-41	SLETTEN 78-41			SLETTEN 78-41	mismatch	Script identifier is not a supported prefix+number code in the free text.
NCPPB 3712	This isolate was isolated by A. Sletten 78-44	SLETTEN 78-44			SLETTEN 78-44	mismatch	Script identifier is not a supported prefix+number code in the free text.
NCPPB 3713	This isolate was isolated by A. Sletten 78-46	SLETTEN 78-46			SLETTEN 78-46	mismatch	Script identifier is not a supported prefix+number code in the free text.
NCPPB 3714	This isolate was isolated by A. Sletten 78-47	SLETTEN 78-47			SLETTEN 78-47	mismatch	Script identifier is not a supported prefix+number code in the free text.
NCPPB 3716	This isolate was isolated by A. Sletten 80-9	SLETTEN 80-9			SLETTEN 80-9	mismatch	Script identifier is not a supported prefix+number code in the free text.
NCPPB 3717	This isolate was isolated by A. Sletten 80-10	SLETTEN 80-10			SLETTEN 80-10	mismatch	Script identifier is not a supported prefix+number code in the free text.
NCPPB 3718	This isolate was isolated by A. Sletten 80-18	SLETTEN 80-18			SLETTEN 80-18	mismatch	Script identifier is not a supported prefix+number code in the free text.
NCPPB 3719	This isolate was isolated by A. Sletten 80-23	SLETTEN 80-23			SLETTEN 80-23	mismatch	Script identifier is not a supported prefix+number code in the free text.
NCPPB 3720	This isolate was isolated by A. Sletten 87-16	SLETTEN 87-16			SLETTEN 87-16	mismatch	Script identifier is not a supported prefix+number code in the free text.
NCPPB 3722	This isolate was isolated by A. Sletten 84-20	SLETTEN 84-20			SLETTEN 84-20	mismatch	Script identifier is not a supported prefix+number code in the free text.
NCPPB 3742	The donor reference is IBSBF 392 The source of this isolate was ex D. Zagoty XC-8	IBSBF 392; XC 8	IBSBF 392; XC 8			match	
NCPPB 3743	This isolate was isolated by J.R. Neto IBSBF 90	IBSBF 90	IBSBF 90			match	
NCPPB 3744	This isolate is also in the collections; ICMP 7492 This isolate was isolated by J.R. Neto IBSBF 341	IBSBF 341; ICMP 7492	IBSBF 341; ICMP 7492			match	
NCPPB 3753	This isolate is also in the collections; ICMP 9854 This isolate was isolated by Y. Takiwawa XCN 8201 (546)	ICMP 9854; XCN 8201	ICMP 9854; XCN 8201			match	
NCPPB 3754	This isolate is also in the collections; ICMP 9857 This isolate was isolated by Y. Takiwawa XCN 8203 (548)	ICMP 9857; XCN 8203	ICMP 9857; XCN 8203			match	
NCPPB 3758	The donor reference is IBSBF 771 The source of this isolate was ex I.M.G. Almeida	IBSBF 771	IBSBF 771			match	
NCPPB 3759	This isolate is also in the collections; ICMP 12547 This isolate was isolated by R. Chand 1	CHAND 1; ICMP 12547	ICMP 12547		CHAND 1	mismatch	Script identifier is not a supported prefix+number code in the free text.
NCPPB 3761	This isolate was isolated by R. Chand 4	CHAND 4			CHAND 4	mismatch	Script identifier is not a supported prefix+number code in the free text.
NCPPB 3776	This isolate was isolated by D.E. Stead					match	
NCPPB 3786	The donor reference is 9 This isolate was isolated by ex K.I. Beltyukova 9	BELTYUKOVA 9			BELTYUKOVA 9	mismatch	Script identifier is not a supported prefix+number code in the free text.
NCPPB 3795	This isolate is also in the collections; ICMP 11060 This isolate was isolated by J. Duff 19207	DUFF 19207; ICMP 11060	ICMP 11060		DUFF 19207	mismatch	Script identifier is not a supported prefix+number code in the free text.
NCPPB 3796	This isolate is also in the collections; ICMP 11059 This isolate was isolated by J. Duff 19206	DUFF 19206; ICMP 11059	ICMP 11059		DUFF 19206	mismatch	Script identifier is not a supported prefix+number code in the free text.
NCPPB 3797	This isolate was isolated by J.E. Sellwood A5125/	A 5125	A 5125			match	Includes one-letter local strain code(s).
NCPPB 3799	This isolate was isolated by J.E. Sellwood A5128/1	A 5128/1	A 5128/1			match	Includes one-letter local strain code(s).
NCPPB 3800	The donor reference is 13					needs_llm_review	Script identifier is not a supported prefix+number code in the free text.
NCPPB 3801	The donor reference is 14					needs_llm_review	Script identifier is not a supported prefix+number code in the free text.
NCPPB 3829	This isolate was isolated by A. Sletten 78-38	SLETTEN 78-38			SLETTEN 78-38	mismatch	Script identifier is not a supported prefix+number code in the free text.
NCPPB 3830	This isolate was isolated by A. Sletten 80-20	SLETTEN 80-20			SLETTEN 80-20	mismatch	Script identifier is not a supported prefix+number code in the free text.
NCPPB 3831	This isolate was isolated by A. Sletten 80-22	SLETTEN 80-22			SLETTEN 80-22	mismatch	Script identifier is not a supported prefix+number code in the free text.
NCPPB 3832	This isolate was isolated by J.E. Sellwood A6340	A 6340	A 6340			match	Includes one-letter local strain code(s).
NCPPB 3870	This isolate was isolated by M Scortichini ISPAVE-B-018	B 018; ISPAVE-B 018	ISPAVE-B 018		B 018	mismatch	
NCPPB 3875	This isolate was isolated by M Scortichini ISPAVE-B- 016	ISPAVE-B 016	ISPAVE-B 016			match	
NCPPB 3876	This isolate was isolated by M Scortichini ISPAVE-B-017	B 017; ISPAVE-B 017	ISPAVE-B 017		B 017	mismatch	
NCPPB 3877	This isolate was isolated by M Scortichini ISPAVE-B-004	B 004; ISPAVE-B 004	ISPAVE-B 004		B 004	mismatch	
NCPPB 3878	This isolate was isolated by M Scortichini ISPAVE-B-006	B 006; ISPAVE-B 006	ISPAVE-B 006		B 006	mismatch	
NCPPB 3880	The donor reference is A5922	A 5922	A 5922			match	Includes one-letter local strain code(s).
NCPPB 3883	This isolate was isolated by J.D. Mihail 90-101 The source of this isolate was ex C.N. Hodge	MIHAIL 90-101			MIHAIL 90-101	mismatch	Script identifier is not a supported prefix+number code in the free text.
NCPPB 3884	This isolate was isolated by J.D. Mihail 90-101 The source of this isolate was ex C.N. Hodge	MIHAIL 90-101			MIHAIL 90-101	mismatch	Script identifier is not a supported prefix+number code in the free text.
NCPPB 3885	This isolate was isolated by R. Chand BHV RCI					match	
NCPPB 3886	This isolate was isolated by R. Chand RC2A	RC 2A	RC 2A			match	
NCPPB 3887	This isolate was isolated by R. Chand RC2B	RC 2B	RC 2B			match	
NCPPB 3888	This isolate is also in the collections; ICMP 12476 This isolate was isolated by R. Chand RC4B	ICMP 12476; RC 4B	ICMP 12476; RC 4B			match	
NCPPB 3890	This isolate was isolated by A. Aspin A6220	A 6220	A 6220			match	Includes one-letter local strain code(s).
NCPPB 3925	The donor reference is RCCP					match	
NCPPB 3926	The donor reference is RCIPO					match	
NCPPB 3927	The donor reference is IBSBF 1080 This isolate was isolated by ex V.A. Malarotta Jr. The source of this isolate was ex IBSBF	IBSBF 1080	IBSBF 1080			match	
NCPPB 3931	This isolate was isolated by J.E. Sellwood & J.K. Wilson A6520/1	A 6520/1	A 6520/1			match	Includes one-letter local strain code(s).
NCPPB 3932	This isolate was isolated by J.E. Sellwood & J.K. Wilson A5420/2	A 5420/2	A 5420/2			match	Includes one-letter local strain code(s).
NCPPB 3942	This isolate was isolated by L. O'Garro W4	W 4			W 4	mismatch	
NCPPB 3943	This isolate was isolated by L. O'Garro G6	G 6	G 6			match	Includes one-letter local strain code(s).
NCPPB 3944	This isolate was isolated by L. O'Garro Fr 58B	FR 58B	FR 58B			match	
NCPPB 3947	The donor reference is IMI B9313 This isolate was isolated by J.Bradbury	B 9313; IMI B9313	IMI B9313		B 9313	mismatch	
NCPPB 3948	The donor reference is IMI B9336 This isolate was isolated by J.Bradbury	B 9336; IMI B9336	IMI B9336		B 9336	mismatch	
NCPPB 3949	The donor reference is IMI B11542 This isolate was isolated by J.Bradbury	B 11542; IMI B11542	IMI B11542		B 11542	mismatch	
NCPPB 3950	The donor reference is IMI B11688 This isolate was isolated by J.Bradbury	B 11688; IMI B11688	IMI B11688		B 11688	mismatch	
NCPPB 3951	The donor reference is IMI B9658 This isolate was isolated by J.Bradbury	B 9658; IMI B9658	IMI B9658		B 9658	mismatch	
NCPPB 3953	The donor reference is IMI B9124 This isolate was isolated by J.Bradbury	B 9124; IMI B9124	IMI B9124		B 9124	mismatch	
NCPPB 3954	The donor reference is IMI B11393 This isolate was isolated by J.Bradbury	B 11393; IMI B11393	IMI B11393		B 11393	mismatch	
NCPPB 3955	The donor reference is IMI B11426 This isolate was isolated by J.Bradbury	B 11426; IMI B11426	IMI B11426		B 11426	mismatch	
NCPPB 3956	The donor reference is IMI B11680b This isolate was isolated by J. Bradbury	B 11680B; IMI B11680B	IMI B11680B		B 11680B	mismatch	
NCPPB 3957	The donor reference is IMI B11059 This isolate was isolated by J.Bradbury	B 11059; IMI B11059	IMI B11059		B 11059	mismatch	
NCPPB 3959	The donor reference is IMI B102166 This isolate was isolated by J.Bradbury	B 102166; IMI B102166	IMI B102166		B 102166	mismatch	
NCPPB 3960	This isolate was isolated by A. Aspin CSL962462	CSL 962462	CSL 962462			match	
